Date,Weekly Average
2021-12-29,46846.3825
2021-12-30,46891.0175
2021-12-31,47025.645
2022-01-01,47413.21
2022-01-02,46749.57
2022-01-03,46333.912500000006
2022-01-04,44713.285
2022-01-05,43195.0075
2022-01-06,42101.152500000004
2022-01-07,41511.805
2022-01-08,41882.77
2022-01-09,41396.4025
2022-01-10,42230.1775
2022-01-11,43350.9875
2022-01-12,43318.494999999995
2022-01-13,42698.26
2022-01-14,43124.8125
2022-01-15,43053.185000000005
2022-01-16,42497.47
2022-01-17,42123.6875
2022-01-18,41927.455
2022-01-19,41599.805
2022-01-20,38416.67
2022-01-21,35589.9875
2022-01-22,35603.994999999995
2022-01-23,35843.0175
2022-01-24,36716.2025
2022-01-25,37230.5675
2022-01-26,36677.205
2022-01-27,37257.92
2022-01-28,37968.1475
2022-01-29,37939.87
2022-01-30,37931.315
2022-01-31,38606.6725
2022-02-01,37758.455
2022-02-02,36961.244999999995
2022-02-03,39421.3225
2022-02-04,41427.7475
2022-02-05,41884.0075
2022-02-06,43091.8025
2022-02-07,44010.244999999995
2022-02-08,44083.159999999996
2022-02-09,44215.79
2022-02-10,42931.920000000006
2022-02-11,42339.9925
2022-02-12,42225.3825
2022-02-13,42245.6375
2022-02-14,43564.807499999995
2022-02-15,44068.845
2022-02-16,42156.795
2022-02-17,40225.0075
2022-02-18,40034.24249999999
2022-02-19,39147.875
2022-02-20,37922.35
2022-02-21,37504.3725
2022-02-22,37941.76500000001
2022-02-23,37435.627499999995
2022-02-24,38811.4375
2022-02-25,39314.3775
2022-02-26,38417.875
2022-02-27,40633.7725
2022-02-28,43835.045
2022-03-01,44262.0675
2022-03-02,43070.0975
2022-03-03,40669.990000000005
2022-03-04,39141.86
2022-03-05,38900.305
2022-03-06,38277.8425
2022-03-07,38487.0925
2022-03-08,40480.7125
2022-03-09,40485.765
2022-03-10,39152.86
2022-03-11,38921.03999999999
2022-03-12,38368.3
2022-03-13,38737.71
2022-03-14,39234.41
2022-03-15,40235.2025
2022-03-16,41002.6825
2022-03-17,41283.865000000005
2022-03-18,41964.482500000006
2022-03-19,41667.625
2022-03-20,41069.130000000005
2022-03-21,41900.725000000006
2022-03-22,42506.08
2022-03-23,43413.892499999994
2022-03-24,44244.44
2022-03-25,44422.347499999996
2022-03-26,45689.8725
2022-03-27,47200.8425
2022-03-28,47401.082500000004
2022-03-29,47162.104999999996
2022-03-30,46344.5825
2022-03-31,45678.4825
2022-04-01,46231.8725
2022-04-02,46298.342500000006
2022-04-03,46249.145000000004
2022-04-04,46157.965
2022-04-05,44324.0375
2022-04-06,43310.75
2022-04-07,42943.4925
2022-04-08,42482.8675
2022-04-09,42547.777500000004
2022-04-10,40826.0025
2022-04-11,39889.755
2022-04-12,40593.1475
2022-04-13,40535.525
2022-04-14,40282.7575
2022-04-15,40407.8775
2022-04-16,40049.665
2022-04-17,40033.12
2022-04-18,41156.3275
2022-04-19,41467.595
2022-04-20,41141.3
2022-04-21,40040.3125
2022-04-22,39603.9475
2022-04-23,39440.340000000004
2022-04-24,39673.05
2022-04-25,39259.575
2022-04-26,38676.0975
2022-04-27,39557.9625
2022-04-28,39109.604999999996
2022-04-29,38150.1225
2022-04-30,38040.1325
2022-05-01,38553.2125
2022-05-02,38105.855
2022-05-03,38778.18
2022-05-04,37915.095
2022-05-05,36125.0925
2022-05-06,35604.365000000005
2022-05-07,34684.7425
2022-05-08,32097.795000000002
2022-05-09,30870.18
2022-05-10,30017.16
2022-05-11,28769.1725
2022-05-12,29537.9575
2022-05-13,29586.765000000003
2022-05-14,30588.9075
2022-05-15,30404.71
2022-05-16,30139.4225
2022-05-17,29631.177499999998
2022-05-18,29567.78
2022-05-19,29756.89
2022-05-20,29312.3825
2022-05-21,29870.5275
2022-05-22,29734.985
2022-05-23,29319.645
2022-05-24,29678.67
2022-05-25,29162.4225
2022-05-26,28877.9275
2022-05-27,28844.285
