Date,Weekly Average
2017-08-13,4170.79
2017-08-20,4058.2625000000003
2017-08-27,4470.705
2017-09-03,4256.74
2017-09-10,3766.2999999999997
2017-09-17,3744.6925
2017-09-24,4024.6775000000002
2017-10-01,4452
2017-10-08,5205.5725
2017-10-15,5717.2425
2017-10-22,5905.46
2017-10-29,6774.567500000001
2017-11-05,6562.79
2017-11-12,6925.27
2017-11-19,8584.032500000001
2017-11-26,10159.6025
2017-12-03,13518.095000000001
2017-12-10,17067.88
2017-12-17,15655.26
2017-12-24,13866.1025
2017-12-31,14947.98
2018-01-07,14354.035
2018-01-14,12073.2425
2018-01-21,11388.5475
2018-01-28,9992.445
2018-02-04,7827.415
2018-02-11,9443.5625
2018-02-18,10256.455
2018-02-25,10505
2018-03-04,10271.8925
2018-03-11,8733.609999999999
2018-03-18,8481.140000000001
2018-03-25,7557.01
2018-04-01,6962.7525000000005
2018-04-08,7601.645
2018-04-15,8500.622500000001
2018-04-22,9154.035
2018-04-29,9474.135
2018-05-06,9045.85
2018-05-13,8499.645
2018-05-20,7923.094999999999
2018-05-27,7468.2225
2018-06-03,7216.764999999999
2018-06-10,6563.8225
2018-06-17,6293.1925
2018-06-24,6200.9375
2018-07-01,6540.674999999999
2018-07-08,6484.2925
2018-07-15,6944.835
2018-07-22,7868.1375
2018-07-29,7597.617499999999
2018-08-05,6615.879999999999
2018-08-12,6321.5225
2018-08-19,6570.0175
2018-08-26,6998.49
2018-09-02,6768.4525
2018-09-09,6377.9825
2018-09-16,6542.5275
2018-09-23,6618.3
2018-09-30,6592.2075
2018-10-07,6468.8
2018-10-14,6727.3625
2018-10-21,6543.0125
2018-10-28,6436.450000000001
2018-11-04,6476.4525
2018-11-11,6003.532499999999
2018-11-18,4766.094999999999
2018-11-25,4097.299999999999
2018-12-02,3776.7299999999996
2018-12-09,3385.855
2018-12-16,3628.7299999999996
2018-12-23,3866.1549999999997
2018-12-30,3862.19
2019-01-06,3743.8825
2019-01-13,3550.965
2019-01-20,3546.9725000000003
2019-01-27,3478.9575000000004
2019-02-03,3561.2125
2019-02-10,3653.8875000000003
2019-02-17,3816.0449999999996
2019-02-24,3779.12
2019-03-03,3841.645
2019-03-10,3941.1349999999998
2019-03-17,3980.84
2019-03-24,4031.0025000000005
2019-03-31,4653.68
2019-04-07,5146.1975
2019-04-14,5167.71
2019-04-21,5316.7325
2019-04-28,5541.0575
2019-05-05,6470.3525
2019-05-12,7588.179999999999
2019-05-19,8240.842499999999
2019-05-26,8604.445
2019-06-02,8149.915
2019-06-09,8356.225
2019-06-16,10050.4275
2019-06-23,11563.7875
2019-06-30,10996.835
2019-07-07,11208.565
2019-07-14,10230.907500000001
2019-07-21,9994.9625
2019-07-28,10226.442500000001
2019-08-04,11434.615000000002
2019-08-11,10793.4375
2019-08-18,10290.205
2019-08-25,9947.9175
2019-09-01,10180.785
2019-09-08,10260.8125
2019-09-15,10085.0525
2019-09-22,8967.965
2019-09-29,8026.8225
2019-10-06,8167.955
2019-10-13,8179.4
2019-10-20,8855.82
2019-10-27,9384.51
2019-11-03,9111.4025
2019-11-10,8741.39
2019-11-17,7674.9175
2019-11-24,7164.03
2019-12-01,7429.6525
2019-12-08,7321.7625
2019-12-15,7143.6449999999995
2019-12-22,7415.1875
2019-12-29,7278.305
2020-01-05,7836.095
2020-01-12,8535.385
2020-01-19,8593.18
